title,provider,award,ects_credits,mode,deadline,start_date,end_date,nfq,ote_flag,skill_area,link
BSc in Process Technologies [Limerick] [September 2018],Innopharma College of Applied Sciences,BSc in Process Technologies,70,Part Time,2018-08-03,2018-09-10,2019-05-31,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6478
Diploma in Full Stack Software Development [July 2018],Code Institute,Code Institute Diploma In Software Development,60,Part Time,2018-07-20,2018-07-24,2018-08-02,6,Yes,"['information', 'communication', 'technologies']",http://springboardcourses.ie/details/6476
Diploma in Pharmaceutical and Medical Device Manufacturing [Sept 2018] [Cork],Innopharma College of Applied Sciences,Level 8 Higher Diploma QQI,70,Part Time,2018-08-03,2018-09-24,2018-09-25,8,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6466
Supply Chain Management (Certificate) (Blended Learning - September 2018),University of Limerick,Minor,54,Part Time,2018-07-15,2018-09-08,2019-05-10,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6334
Management  (Certificate) (Blended Learning - September 2018),University of Limerick,Minor,54,Part Time,2018-07-15,2018-09-08,2019-05-10,6,Yes,"['business', 'administration', 'law']",http://springboardcourses.ie/details/6326
,,,,,,,,,,,
,,,,,,,,,,,
Quality for Medical Technologies (incorporating a Certificate in Quality (SPA) & Diploma in Professional Competence (SPA),Irish Medtech Association ,QQI Level 8 - 30 ECTS,50,Part Time,2018-11-01,2018-11-13,2019-03-05,8,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6221
Bachelors in Science in Quality and Regulatory Affairs,Irish Medtech Association ,Bachelors of Science in Quality and regulatory Affairs,60,Part Time,2018-08-25,2018-09-08,2019-08-31,8,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6220
"Certificate in Quality Management, Tools and Techniques in Practice","Institute of Technology, Tralee",Special Purpose,30,Part Time,2018-08-31,2018-09-07,2019-06-20,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6217
Certificate in Building Information Modelling (BIM) with Revit,"Institute of Technology, Tralee",Special Purpose,10,Part Time,2018-08-31,2018-09-07,2018-12-21,6,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6212
Higher Diploma in Science in Computing with Data Analytics/ Software/ IT Infrastructure [1 year Full-time] [September 2018],"Institute of Technology, Sligo",Higher Diploma,94,Full Time,2018-08-31,2018-09-10,2019-08-31,8,Yes,"['information', 'communication', 'technologies']",http://springboardcourses.ie/details/6197
Higher Diploma in Science in Computing [2 Years Part-time] [September 2018],"Institute of Technology, Sligo",Higher Diploma,90,Part Time,2018-08-31,2018-09-10,2020-08-31,8,Yes,"['information', 'communication', 'technologies']",http://springboardcourses.ie/details/6191
L8 Certificate in Software Development,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,8,Yes,"['information', 'communication', 'technologies']",http://springboardcourses.ie/details/6182
L8 Certificate in Secure IT & Deep Machine Learning,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,8,Yes,"['information', 'communication', 'technologies']",http://springboardcourses.ie/details/6181
L8 Certificate in Science in Medical Technologies Regulatory Affairs & Quality,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,8,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",http://springboardcourses.ie/details/6180
L8 Certificate in Computer Networks & Cloud Infrastructure,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,8,Yes,"['information', 'communication', 'technologies']",http://springboardcourses.ie/details/6179
L7 Certificate in Lean Sigma Quality (Six Sigma Green Belt),"Institute of Technology, Sligo",Certificate,25,Part Time,2018-08-31,2018-09-10,2019-05-31,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6178
L7 Certificate in Bioprocess Engineering,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,7,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",http://springboardcourses.ie/details/6177
L7 Certificate in Biopharmaceutical Processing,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,7,Yes,"['natural', 'sciences', 'mathematics', 'statistics']",http://springboardcourses.ie/details/6176
L6 Certificate in Validation Technologies,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,6,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6175
L6 Certificate in Quality Assurance,"Institute of Technology, Sligo",Certificate,40,Part Time,2018-08-31,2018-09-10,2019-05-31,6,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6174
L6 Certificate in Mechanical Analysis & Automation,"Institute of Technology, Sligo",Certificate,35,Part Time,2018-08-31,2018-09-10,2019-05-31,6,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6173
,,,,,,,,,,,
Level 7 BA in Pharmaceutical Business Operations [September 2018] [Cork],Innopharma College of Applied Sciences,Level 7 in Pharmaceutical Business Operations,60,Part Time,2018-08-03,2018-09-24,2019-05-17,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6144
Level 7 BA in Pharmaceutical Business Operations [September 2018] [Dublin],Innopharma College of Applied Sciences,Level 7 in Pharmaceutical Business Operations,60,Part Time,2018-08-03,2018-09-24,2019-05-17,7,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6143
Higher Diploma in Food Science and Technology [September 2018] [Dublin],Innopharma College of Applied Sciences,Level 8 Special Purpose Award HETAC,70,Part Time,2018-08-03,2018-09-10,2019-05-31,8,Yes,"['engineering', 'manufacturing', 'construction']",http://springboardcourses.ie/details/6141
